consensus_line,num_bookmakers,avg_vig,over_best_odds,over_best_book,over_avg_odds,over_worst_odds,over_worst_book,under_best_odds,under_best_book,under_avg_odds,under_worst_odds,under_worst_book,best_market_vig,avg_market_vig,is_arbitrage,arb_opportunity,arb_profit_pct,alternative_lines,num_alternative_lines,date,player,game
1.5,8,6.93,190,bovada,-102.6,-154,fanduel,116,fanduel,37.6,-260,bovada,-19.22,23.31,True,1,19.22,,0,2025-10-23,Alex Sarr,Washington Wizards @ Milwaukee Bucks
1.5,8,7.07,140,betmgm,131.1,120,fanatics,-165,fanatics,-176.2,-190,betmgm,3.93,7.07,False,0,0.0,,0,2025-10-23,Andrew Nembhard,Oklahoma City Thunder @ Indiana Pacers
0.5,5,7.74,-208,betonlineag,-212.8,-225,fanatics,161,draftkings,152.0,140,fanatics,5.85,7.71,False,0,0.0,,0,2025-10-23,Anthony Davis,San Antonio Spurs @ Dallas Mavericks
3.5,7,6.98,-103,betonlineag,-108.1,-118,betmgm,-115,betmgm,-122.6,-128,fanduel,4.23,7.03,False,0,0.0,[2.5],1,2025-10-23,Anthony Edwards,Minnesota Timberwolves @ Portland Trail Blazers
0.5,3,8.32,300,betmgm,276.7,240,fanatics,-425,fanatics,-445.0,-460,williamhill_us,5.95,8.2,False,0,0.0,,0,2025-10-23,Ausar Thompson,Detroit Pistons @ Chicago Bulls
1.5,7,6.99,120,bovada,83.0,-105,betmgm,-130,betmgm,-148.3,-160,bovada,1.98,14.37,False,0,0.0,,0,2025-10-23,Ayo Dosunmu,Detroit Pistons @ Chicago Bulls
1.5,8,6.93,-109,draftkings,-113.5,-125,fanduel,-106,fanduel,-116.5,-120,williamhill_us,3.61,6.97,False,0,0.0,,0,2025-10-23,Bennedict Mathurin,Oklahoma City Thunder @ Indiana Pacers
1.5,7,7.41,159,draftkings,147.0,132,betrivers,-180,betrivers,-202.1,-213,williamhill_us,2.9,7.39,False,0,0.0,[0.5],1,2025-10-23,Bobby Portis,Washington Wizards @ Milwaukee Bucks
1.5,8,6.79,-114,fanduel,-122.1,-125,betmgm,-104,draftkings,-107.6,-114,fanduel,4.25,6.82,False,0,0.0,,0,2025-10-23,Bradley Beal,Los Angeles Clippers @ Utah Jazz
2.5,7,7.08,117,draftkings,78.9,-105,betrivers,-127,betrivers,-143.1,-152,draftkings,2.03,14.78,False,0,0.0,[1.5],1,2025-10-23,Brice Sensabaugh,Los Angeles Clippers @ Utah Jazz
0.5,1,7.11,-140,betmgm,-140.0,-140,betmgm,105,betmgm,105.0,105,betmgm,7.11,7.11,False,0,0.0,,0,2025-10-23,Brook Lopez,Los Angeles Clippers @ Utah Jazz
2.5,8,6.97,180,bovada,-91.8,-150,betmgm,110,betmgm,-94.6,-245,bovada,-16.67,-3.53,True,1,16.67,,0,2025-10-23,C.J. McCollum,Washington Wizards @ Milwaukee Bucks
1.5,8,7.01,175,bovada,-118.5,-166,fanduel,125,betonlineag,75.1,-240,bovada,-19.19,11.34,True,1,19.19,,0,2025-10-23,Cade Cunningham,Detroit Pistons @ Chicago Bulls
1.5,3,7.06,-105,betmgm,-107.7,-110,fanatics,-120,fanatics,-123.3,-125,williamhill_us,5.76,7.07,False,0,0.0,,0,2025-10-23,Cam Whitmore,Washington Wizards @ Milwaukee Bucks
1.5,7,6.87,210,bovada,-89.0,-145,betmgm,110,betmgm,48.6,-290,bovada,-20.12,14.4,True,1,20.12,,0,2025-10-23,Caris LeVert,Detroit Pistons @ Chicago Bulls
1.5,6,6.86,-117,draftkings,-126.8,-130,fanduel,100,fanatics,-37.3,-111,draftkings,3.92,-16.9,False,0,0.0,,0,2025-10-23,Carlton Carrington,Washington Wizards @ Milwaukee Bucks
1.5,8,7.17,145,betrivers,139.5,130,fanatics,-181,draftkings,-189.1,-200,betmgm,5.23,7.17,False,0,0.0,,0,2025-10-23,Cason Wallace,Oklahoma City Thunder @ Indiana Pacers
1.5,8,6.86,-115,fanatics,-121.5,-128,draftkings,-101,draftkings,-108.5,-115,fanatics,3.74,6.89,False,0,0.0,,0,2025-10-23,Chet Holmgren,Oklahoma City Thunder @ Indiana Pacers
1.5,5,7.79,175,williamhill_us,168.6,155,fanatics,-225,betmgm,-239.6,-250,williamhill_us,5.59,7.78,False,0,0.0,[0.5],1,2025-10-23,Chris Paul,Los Angeles Clippers @ Utah Jazz
1.5,6,6.83,110,bovada,107.3,105,williamhill_us,-140,draftkings,-141.5,-145,bovada,5.95,6.82,False,0,0.0,,0,2025-10-23,Collin Gillespie,Sacramento Kings @ Phoenix Suns
1.5,7,6.95,-106,fanduel,-113.0,-122,betrivers,-109,betrivers,-117.3,-127,williamhill_us,3.61,7.03,False,0,0.0,,0,2025-10-23,Cooper Flagg,San Antonio Spurs @ Dallas Mavericks
1.5,1,7.45,100,betmgm,100.0,100,betmgm,-135,betmgm,-135.0,-135,betmgm,7.45,7.45,False,0,0.0,,0,2025-10-23,Corey Kispert,Washington Wizards @ Milwaukee Bucks
1.5,6,6.99,-130,fanduel,-136.3,-143,betonlineag,110,betonlineag,69.5,-102,fanduel,4.14,16.68,False,0,0.0,,0,2025-10-23,D'Angelo Russell,San Antonio Spurs @ Dallas Mavericks
0.5,5,7.0,-125,bovada,-140.4,-155,williamhill_us,115,fanatics,65.6,-105,bovada,2.07,18.79,False,0,0.0,,0,2025-10-23,Dario Saric,Sacramento Kings @ Phoenix Suns
0.5,5,7.7,-220,betmgm,-232.0,-250,fanatics,173,draftkings,164.4,155,fanatics,5.38,7.7,False,0,0.0,,0,2025-10-23,DeMar DeRozan,Sacramento Kings @ Phoenix Suns
1.5,4,7.55,-165,betmgm,-178.5,-190,fanatics,137,draftkings,130.0,125,betmgm,4.46,7.57,False,0,0.0,[2.5],1,2025-10-23,Deni Avdija,Minnesota Timberwolves @ Portland Trail Blazers
1.5,6,6.9,122,draftkings,113.8,110,williamhill_us,-145,betmgm,-150.8,-159,draftkings,4.23,6.9,False,0,0.0,,0,2025-10-23,Dennis Schroder,Sacramento Kings @ Phoenix Suns
0.5,1,7.47,-185,betmgm,-185.0,-185,betmgm,135,betmgm,135.0,135,betmgm,7.47,7.47,False,0,0.0,,0,2025-10-23,Derrick Jones,Los Angeles Clippers @ Utah Jazz
2.5,7,6.95,-136,draftkings,-145.6,-160,betmgm,120,betmgm,109.7,105,draftkings,3.08,6.96,False,0,0.0,,0,2025-10-23,Devin Booker,Sacramento Kings @ Phoenix Suns
