player,player_id,paint_fga,paint_fgm,paint_fg_pct,paint_rate,paint_ppg,games,rank
Kevin Love,201567,29,14,48.3,21.6,1.9,15,326
Simone Fontecchio,1631323,58,28,48.3,23.8,1.9,29,327
Sion James,1642883,69,33,47.8,35.4,2.1,32,328
Tre Mann,1630544,59,28,47.5,27.2,2.9,19,329
Noah Penda,1642869,55,26,47.3,55.0,2.7,19,330
Danny Wolf,1642874,72,34,47.2,45.0,3.4,20,331
Luke Kennard,1628379,34,16,47.1,17.9,1.9,17,332
Jordan Poole,1629673,77,36,46.8,26.7,3.6,20,333
Larry Nance Jr.,1626204,26,12,46.2,40.0,2.4,10,334
Rayan Rupert,1641712,37,17,45.9,40.2,2.1,16,335
Klay Thompson,202691,37,17,45.9,9.3,1.5,23,336
Terrence Shannon Jr.,1630545,35,16,45.7,43.2,2.1,15,337
Cam Spencer,1642285,42,19,45.2,13.6,1.7,22,338
Keshad Johnson,1642352,29,13,44.8,58.0,2.0,13,339
Justin Edwards,1642348,29,13,44.8,20.7,1.5,17,340
Jett Howard,1641724,36,16,44.4,30.8,1.9,17,341
Aaron Nesmith,1630174,65,28,43.1,26.3,2.8,20,342
Jaden Hardy,1630702,28,12,42.9,19.9,1.7,14,343
Jared McCain,1642272,63,27,42.9,32.6,2.1,26,344
Vince Williams Jr.,1631246,43,18,41.9,22.5,1.8,20,345
Jeremiah Robinson-Earl,1630526,41,17,41.5,49.4,2.3,15,346
Cam Christie,1642353,29,12,41.4,42.6,1.8,13,347
Carter Bryant,1642868,27,11,40.7,37.5,1.4,16,348
Jalen Wilson,1630592,27,11,40.7,25.2,1.3,17,349
Jarace Walker,1641716,94,38,40.4,28.8,2.4,32,350
KJ Simpson,1642354,30,12,40.0,33.7,2.2,11,351
Nolan Traore,1642849,28,11,39.3,32.2,1.8,12,352
Patrick Williams,1630172,64,23,35.9,28.3,1.6,29,353
Rob Dillingham,1642265,59,21,35.6,44.4,1.8,24,354
Bub Carrington,1642267,45,15,33.3,14.6,1.2,25,355
AJ Johnson,1642358,34,8,23.5,63.0,1.1,15,356
