season,week,game_id,team1,team1_score,team1_adj_score,team2,team2_score,team2_adj_score,actual_diff,adj_diff,luck_delta,lucky_team,lucky_team_score,lucky_team_adj_score,lucky_team_overperf,unlucky_team,unlucky_team_score,unlucky_team_adj_score,unlucky_team_underperf
2025,9,2025_09_ARI_DAL,ARI,27,22.4,DAL,17,16.1,10,6.299999999999997,3.700000000000003,ARI,27,22.4,4.600000000000001,DAL,17,16.1,0.8999999999999986
2025,9,2025_09_ATL_NE,ATL,23,19.1,NE,24,22.0,-1,-2.8999999999999986,1.8999999999999986,ATL,23,19.1,3.8999999999999986,NE,24,22.0,2.0
2025,9,2025_09_BAL_MIA,BAL,28,27.5,MIA,6,16.9,22,10.600000000000001,11.399999999999999,BAL,28,27.5,0.5,MIA,6,16.9,-10.899999999999999
2025,9,2025_09_CAR_GB,CAR,16,20.2,GB,13,20.8,3,-0.6000000000000014,3.6000000000000014,CAR,16,20.2,-4.199999999999999,GB,13,20.8,-7.800000000000001
2025,9,2025_09_CHI_CIN,CHI,47,36.5,CIN,42,27.8,5,8.7,3.6999999999999993,CIN,42,27.8,14.2,CHI,47,36.5,10.5
2025,9,2025_09_DEN_HOU,DEN,18,18.7,HOU,15,15.6,3,3.0999999999999996,0.09999999999999964,HOU,15,15.6,-0.5999999999999996,DEN,18,18.7,-0.6999999999999993
2025,9,2025_09_IND_PIT,IND,20,24.3,PIT,27,22.3,-7,2.0,9.0,PIT,27,22.3,4.699999999999999,IND,20,24.3,-4.300000000000001
2025,9,2025_09_JAX_LV,JAX,30,25.7,LV,29,25.2,1,0.5,0.5,JAX,30,25.7,4.300000000000001,LV,29,25.2,3.8000000000000007
2025,9,2025_09_KC_BUF,BUF,28,29.2,KC,21,21.1,7,8.099999999999998,1.0999999999999979,KC,21,21.1,-0.10000000000000142,BUF,28,29.2,-1.1999999999999993
2025,9,2025_09_LAC_TEN,LAC,27,27.3,TEN,20,11.6,7,15.700000000000001,8.700000000000001,TEN,20,11.6,8.4,LAC,27,27.3,-0.3000000000000007
2025,9,2025_09_MIN_DET,DET,24,17.9,MIN,27,20.0,-3,-2.1000000000000014,0.8999999999999986,MIN,27,20.0,7.0,DET,24,17.9,6.100000000000001
2025,9,2025_09_NO_LA,LA,34,31.8,NO,10,12.0,24,19.8,4.199999999999999,LA,34,31.8,2.1999999999999993,NO,10,12.0,-2.0
2025,9,2025_09_SEA_WAS,SEA,38,35.2,WAS,14,18.1,24,17.1,6.899999999999999,SEA,38,35.2,2.799999999999997,WAS,14,18.1,-4.100000000000001
2025,9,2025_09_SF_NYG,NYG,24,24.0,SF,34,28.7,-10,-4.699999999999999,5.300000000000001,SF,34,28.7,5.300000000000001,NYG,24,24.0,0.0
2025,10,2025_10_ARI_SEA,ARI,22,20.3,SEA,44,30.7,-22,-10.399999999999999,11.600000000000001,SEA,44,30.7,13.3,ARI,22,20.3,1.6999999999999993
2025,10,2025_10_ATL_IND,ATL,25,25.3,IND,31,29.8,-6,-4.5,1.5,IND,31,29.8,1.1999999999999993,ATL,25,25.3,-0.3000000000000007
2025,10,2025_10_BAL_MIN,BAL,27,27.6,MIN,19,20.7,8,6.900000000000002,1.0999999999999979,BAL,27,27.6,-0.6000000000000014,MIN,19,20.7,-1.6999999999999993
2025,10,2025_10_BUF_MIA,BUF,13,21.1,MIA,30,22.2,-17,-1.0999999999999979,15.900000000000002,MIA,30,22.2,7.800000000000001,BUF,13,21.1,-8.100000000000001
2025,10,2025_10_CLE_NYJ,CLE,20,14.6,NYJ,27,9.7,-7,4.9,11.9,NYJ,27,9.7,17.3,CLE,20,14.6,5.4
2025,10,2025_10_DET_WAS,DET,44,33.3,WAS,22,20.5,22,12.799999999999997,9.200000000000003,DET,44,33.3,10.700000000000003,WAS,22,20.5,1.5
2025,10,2025_10_JAX_HOU,HOU,36,24.8,JAX,29,15.8,7,9.0,2.0,JAX,29,15.8,13.2,HOU,36,24.8,11.2
2025,10,2025_10_LA_SF,LA,42,35.8,SF,26,26.8,16,8.999999999999996,7.0000000000000036,LA,42,35.8,6.200000000000003,SF,26,26.8,-0.8000000000000007
2025,10,2025_10_LV_DEN,DEN,10,17.2,LV,7,13.7,3,3.5,0.5,LV,7,13.7,-6.699999999999999,DEN,10,17.2,-7.199999999999999
2025,10,2025_10_NE_TB,NE,28,22.9,TB,23,25.4,5,-2.5,7.5,NE,28,22.9,5.100000000000001,TB,23,25.4,-2.3999999999999986
2025,10,2025_10_NO_CAR,CAR,7,13.8,NO,17,20.1,-10,-6.300000000000001,3.6999999999999993,NO,17,20.1,-3.1000000000000014,CAR,7,13.8,-6.800000000000001
2025,10,2025_10_NYG_CHI,CHI,24,27.1,NYG,20,20.5,4,6.600000000000001,2.6000000000000014,NYG,20,20.5,-0.5,CHI,24,27.1,-3.1000000000000014
2025,10,2025_10_PHI_GB,GB,7,15.9,PHI,10,12.9,-3,3.0,6.0,PHI,10,12.9,-2.9000000000000004,GB,7,15.9,-8.9
2025,10,2025_10_PIT_LAC,LAC,25,22.0,PIT,10,14.1,15,7.9,7.1,LAC,25,22.0,3.0,PIT,10,14.1,-4.1
2025,11,2025_11_BAL_CLE,BAL,23,22.0,CLE,16,11.8,7,10.2,3.1999999999999993,CLE,16,11.8,4.199999999999999,BAL,23,22.0,1.0
